"BSPretty","BIgoal","Prob","Response","Est","BIthreshold","n_AgreePass.cal","n_AgreePass.val","n_AgreeFail.cal","n_AgreeFail.val","n_Disgree_FailBI.cal","n_Disgree_FailBI.val","n_Disgree_FailBS.cal","n_Disgree_FailBS.val","RR.est.cal","RR.est.val","RR.l95.cal","RR.l95.val","RR.u95.cal","RR.u95.val","l95","u95"
"Total N","Ref30","p50","ASCI_D",0.576576576576577,0.910851912839633,387,119,150,44,175,58,20,7,2.83361344537815,2.63286004056795,2.47642889990555,2.07471759219437,3.24231604555014,3.34115448738629,0.492492492492492,0.6996996996997
"Total N","Ref30","p50","ASCI_H",0.477477477477477,0.931827933347955,408,122,171,54,134,51,19,1,3.64029850746269,3.33048128342246,3.11927863007934,2.63620809529024,4.24834546540589,4.20759863344783,0.417417417417417,0.558558558558559
"Total N","Ref30","p50","ASCI_S",1.14714714714715,0.926583928220874,395,125,96,35,235,65,6,3,2.52315394242803,2.69230769230769,2.25504565489658,2.16380500000759,2.82313832687441,3.34989553588875,0.924924924924925,1.52852852852853
"Total N","Ref30","p50","CSCI",1.69369369369369,0.92,626,185,120,35,430,166,8,3,2.30232558139535,1.94752694990488,2.11374925178956,1.68529009449477,2.5077255867789,2.25056874955576,1.37237237237237,2.23123123123123
"Total N","Ref30","p80","ASCI_D",0.252252252252252,0.910851912839633,337,106,207,60,118,42,70,20,2.88150890289421,2.64285714285714,2.4314493634103,1.98521371503354,3.41487414149264,3.51835866569812,0.195195195195195,0.312312312312312
"Total N","Ref30","p80","ASCI_H",0.228228228228228,0.931827933347955,355,107,219,71,86,34,72,16,3.85914648765284,3.38438133874239,3.15682499964671,2.4822177872983,4.7177184718285,4.61443677691737,0.183183183183183,0.27027027027027
"Total N","Ref30","p80","ASCI_S",0.465465465465465,0.926583928220874,367,119,158,46,173,54,34,9,2.56864161849711,2.67946127946128,2.23448406405253,2.08520774229521,2.95277100894121,3.44306833439516,0.339339339339339,0.624624624624625
"Total N","Ref30","p80","CSCI",0.66966966966967,0.92,611,180,189,63,361,138,23,8,2.40040767260754,2.04470300061237,2.18428824175029,1.75880713938243,2.63791054888252,2.37707152029257,0.504504504504504,0.885885885885886
"Total N","Ref30","p90","ASCI_D",0.135135135135135,0.910851912839633,248,79,247,71,78,31,159,47,2.54269293924466,2.13504647348278,2.06344899041863,1.53000698430987,3.13324313482206,2.97934812760831,0.0660660660660661,0.192192192192192
"Total N","Ref30","p90","ASCI_H",0.126126126126126,0.931827933347955,260,86,259,86,46,19,167,37,4.04439681567667,3.86392811296534,3.06506246604589,2.52850917924325,5.33664347263932,5.90464159067528,0.0750750750750751,0.171171171171171
"Total N","Ref30","p90","ASCI_S",0.24024024024024,0.926583928220874,317,105,202,60,129,40,84,23,2.44191467447281,2.62048192771084,2.07324098993583,1.94890427024646,2.87614768681099,3.5234801617992,0.102102102102102,0.366366366366366
"Total N","Ref30","p90","CSCI",0.339339339339339,0.92,568,176,274,82,276,119,66,12,2.46436487638534,2.16252458430181,2.20767652474372,1.8444875846544,2.75089859220509,2.53539932532858,0.177177177177177,0.504504504504504
"Total N","Ref30","p95","ASCI_D",0.0690690690690691,0.910851912839633,125,40,283,92,42,10,282,86,1.99161399072903,2.58426966292135,1.51356344850365,1.45632479380027,2.62065412057159,4.5858243429807,-Inf,0.132132132132132
"Total N","Ref30","p95","ASCI_H",0.0690690690690691,0.931827933347955,140,41,278,96,27,9,287,82,3.04333005571944,2.99625468164794,2.13258007600886,1.63075042168488,4.34302933439146,5.50516007717581,0.00600600600600601,0.117117117117117
"Total N","Ref30","p95","ASCI_S",0.123123123123123,0.926583928220874,217,74,250,72,81,28,184,54,2.11924674290266,2.08163265306122,1.73033710741209,1.46598366973161,2.59556749841689,2.9558272658549,-Inf,0.249249249249249
"Total N","Ref30","p95","CSCI",0.171171171171171,0.92,456,149,357,123,193,78,178,39,2.24389133698126,2.20963912630579,1.96525619593883,1.80933430949248,2.56203152677213,2.69850908308425,-Inf,0.327327327327327
"Total N","Ref10","p50","ASCI_D",1.56156156156156,0.782136233857418,553,171,77,18,91,32,11,7,6.19230769230769,4.5675,5.03819592855263,3.05563459868773,7.61079463760129,6.82740542961498,1.33033033033033,1.89489489489489
"Total N","Ref10","p50","ASCI_H",0.924924924924925,0.833398296479202,528,164,108,33,82,23,14,8,6.58536585365854,6.5440084835631,5.3304958946457,4.33324380104101,8.13564896843698,9.88267658114638,0.807807807807808,1.09009009009009
"Total N","Ref10","p50","ASCI_S",Inf,0.820582780823756,551,162,0,0,181,66,0,0,NA,NA,NA,NA,NA,NA,2.48948948948949,Inf
"Total N","Ref10","p50","CSCI",2.51651651651652,0.79,792,262,84,23,292,99,16,5,3.11835616438356,2.99531024531025,2.73775888172739,2.35357147622973,3.55186325313408,3.81202931641274,2.0960960960961,Inf
"Total N","Ref10","p80","ASCI_D",0.834834834834835,0.782136233857418,541,162,102,26,66,24,23,16,7.50472727272727,4.79761904761905,5.88772610461618,3.0795225063818,9.56582056251886,7.474258908119,0.690690690690691,1.01201201201201
"Total N","Ref10","p80","ASCI_H",0.510510510510511,0.833398296479202,501,161,139,41,51,15,41,11,8.35816993464052,9.25128205128205,6.35864665693302,5.58217771311895,10.9864580350851,15.332048528522,0.432432432432432,0.600600600600601
"Total N","Ref10","p80","ASCI_S",1.43543543543544,0.820582780823756,530,156,71,22,110,44,21,6,4.4901185770751,3.57142857142857,3.66412539051171,2.57904620236194,5.50231301810863,4.94566635880154,1.12612612612613,1.85585585585586
"Total N","Ref10","p80","CSCI",1.10510510510511,0.79,778,250,126,42,250,80,30,17,3.32123076923077,2.9364406779661,2.9096187656252,2.28510848256423,3.79107185889867,3.77342429079695,0.885885885885886,1.3963963963964
"Total N","Ref10","p90","ASCI_D",0.504504504504504,0.782136233857418,511,159,127,33,41,17,53,19,9.49918699186992,6.57013574660633,6.97083910059057,3.99393723182845,12.9445755675046,10.808052611551,0.366366366366366,0.645645645645646
"Total N","Ref10","p90","ASCI_H",0.318318318318318,0.833398296479202,467,148,160,50,30,6,75,24,11.2794326241135,17.3423423423423,7.88522588475675,7.77765963926763,16.1346805001313,38.6693236613939,0.237237237237237,0.393393393393393
"Total N","Ref10","p90","ASCI_S",0.801801801801802,0.820582780823756,510,150,89,31,92,35,41,12,4.47976588628763,3.81063122923588,3.58977770762175,2.67912903060725,5.59040253476913,5.42001157814203,0.519519519519519,1.10810810810811
"Total N","Ref10","p90","CSCI",0.591591591591592,0.79,753,247,174,53,202,69,55,20,3.59224350382637,3.32499503672821,3.11506163985535,2.58416177124246,4.14252264728282,4.27821203660625,0.393393393393393,0.807807807807808
"Total N","Ref10","p95","ASCI_D",0.288288288288288,0.782136233857418,460,139,147,40,21,10,104,39,13.4143426294821,7.54430379746835,8.71479096280238,3.98440024460917,20.6481818036948,14.2848399493757,0.135135135135135,0.423423423423423
"Total N","Ref10","p95","ASCI_H",0.186186186186186,0.833398296479202,384,126,173,51,17,5,158,46,12.3285942775902,13.7752577319588,7.65350071135183,5.70175519268356,19.8594398294088,33.2805810087015,0.0900900900900901,0.264264264264264
"Total N","Ref10","p95","ASCI_S",0.429429429429429,0.820582780823756,465,146,115,39,66,27,86,16,4.60312075983718,4.54343434343434,3.56475722124518,3.08695506094795,5.94394496302968,6.68710597515456,0.123123123123123,0.714714714714715
"Total N","Ref10","p95","CSCI",0.309309309309309,0.79,688,233,234,70,142,52,120,34,3.86369061828599,3.68897928994083,3.2682428738562,2.78738299141125,4.56762418523,4.88220249730459,0.0930930930930931,0.507507507507508
"Total N","Ref01","p50","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","ASCI_H",Inf,0.697574776374691,638,204,0,0,94,24,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","ASCI_S",Inf,0.674311297634282,642,197,0,0,90,31,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","CSCI",Inf,0.63,976,312,0,0,208,77,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p80","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p80","ASCI_H",2.60960960960961,0.697574776374691,621,199,45,12,49,12,17,5,9.92429229756419,12.4117647058824,7.2777477106387,6.60561448191349,13.533249780494,23.3213584498443,2.15615615615616,Inf
"Total N","Ref01","p80","ASCI_S",Inf,0.674311297634282,642,197,0,0,90,31,0,0,NA,NA,NA,NA,NA,NA,2.64264264264264,Inf
"Total N","Ref01","p80","CSCI",Inf,0.63,976,312,0,0,208,77,0,0,NA,NA,NA,NA,NA,NA,2.73873873873874,Inf
"Total N","Ref01","p90","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
